comment,processed_data
Simple assessments which require Regional Director approval require a briefing note in addition to the assessment. The briefing note is unnecessary and duplicated the information in the assessment. Additionally the process then required the involvement of various AO's and admins to vet the brief which is a inefficent use of time and resources. This is a daily requirement in our region. ,"['simple', 'assessment', 'require', 'Regional', 'Director', 'approval', 'require', 'briefing', 'note', 'addition', 'assessment', 'briefing', 'note', 'unnecessary', 'duplicate', 'information', 'assessment', 'additionally', 'process', 'require', 'involvement', 'AO', 'admin', 'vet', 'brief', 'inefficent', 'use', 'time', 'resource', 'daily', 'requirement', 'region']"
Simple home garaging requests involves too may approvals for a simple and low risk request. ,"['simple', 'home', 'garaging', 'request', 'involve', 'approval', 'simple', 'low', 'risk', 'request']"
The reduction from travel approval from AO7 to AO6,"['reduction', 'travel', 'approval', 'AO7', 'AO6']"
"The region needs to be more progressive and ask why and does this add value. I see the AO6,  AO7 and regional admin team spending significant amounts of time vetting and forwarding correspondance purely because of established business process which does not manage risk or add value. ","['region', 'need', 'progressive', 'ask', 'add', 'value', 'AO6', 'AO7', 'regional', 'admin', 'team', 'spend', 'significant', 'amount', 'time', 'vet', 'forwarding', 'correspondance', 'purely', 'establish', 'business', 'process', 'manage', 'risk', 'add', 'value']"
If you have financial delegation then you should be able to approve DTIV's (Direct Tax Invoice Voucher) etc.  Being excluded and instructed that only certain officers can approve takes away a responsibility of your role.,"['financial', 'delegation', 'able', 'approve', 'DTIV', 'Direct', 'Tax', 'Invoice', 'Voucher', 'etc', 'exclude', 'instruct', 'certain', 'officer', 'approve', 'take', 'away', 'responsibility', 'role']"
Financial Delegations are allocated as per positions and the person in that position should be allowed to approve to ensure there is no hold up on processing.,"['financial', 'delegation', 'allocate', 'position', 'person', 'position', 'allow', 'approve', 'ensure', 'hold', 'process']"
NOt really approval/red tape but way too many emails are distributed widely duplicating information and distributing irrelevant information or to irrelevant parties,"['approval', 'red', 'tape', 'way', 'email', 'distribute', 'widely', 'duplicate', 'information', 'distribute', 'irrelevant', 'information', 'irrelevant', 'party']"
"Not really approval related but too many emails are distributed and now duplication via teams, too widely. Inefficient matching of content to audience","['approval', 'relate', 'email', 'distribute', 'duplication', 'team', 'widely', 'inefficient', 'matching', 'content', 'audience']"
"Increase skill levels of officers in preparing reports, corro, briefings etc","['increase', 'skill', 'level', 'officer', 'prepare', 'report', 'corro', 'briefing', 'etc']"
HR reviews (temp to perm; and higher duties reviews) - formal letters to be prepared and hard copies signed by DDG; review templates to be signed by CHRO); mandatory SEAWC checks ie for higher duties reviews require Director level approval (even though it's a mandatory step); EMP process too restrictive,"['hr', 'review', 'temp', 'perm', 'high', 'duty', 'review', 'formal', 'letter', 'prepared', 'hard', 'copy', 'sign', 'DDG', 'review', 'template', 'sign', 'chro', 'mandatory', 'SEAWC', 'check', 'ie', 'high', 'duty', 'review', 'require', 'director', 'level', 'approval', 'mandatory', 'step', 'emp', 'process', 'restrictive']"
"reduction in 'hard copy' letters, templates, offer and acceptance forms - should all be by email or electronic form","['reduction', 'hard', 'copy', 'letter', 'template', 'offer', 'acceptance', 'form', 'email', 'electronic', 'form']"
Unnecessary administration and not productive use of the limited (staff) resources we have available.,"['unnecessary', 'administration', 'productive', 'use', 'limited', 'staff', 'resource', 'available']"
MECS is a good tracking system,"['MECS', 'good', 'tracking', 'system']"
Need increased use of email and not a reliance on hard copy letters and forms,"['need', 'increase', 'use', 'email', 'reliance', 'hard', 'copy', 'letter', 'form']"
The need to use the online platform for IT requests ,"['need', 'use', 'online', 'platform', 'request']"
Fast track decisions. Can be held up in multiple stages.,"['fast', 'track', 'decision', 'hold', 'multiple', 'stage']"
