text	processed_data
New PFP Hub is not designed for my permits and currently has tripled my work load, with basic data entry and using old/new systems. contributing to administrative burdens on staff, who are already dealing with poorly designed internal systems.      	New PFP Hub is not designed for my permits and currently has tripled my work load with basic data entry and using old new systems contributing to administrative burdens on staff who are already dealing with poorly designed internal systems
LOC8 system has been developed, however we have spreadsheets that have to be created for us to use to track tasks etc.  The system has not reduced work, it has increased the double up and sometimes triple handling of information.	LOC8 system has been developed however we have spreadsheets that have to be created for us to use to track tasks etc The system has not reduced work it has increased the double up and sometimes triple handling of information
New permitting system developed and rolled out but is not well-suited to the permitting functions my team performs, and so several work-arounds have been implemented which result in additional complications, duplication of work and additional points where errors, delays, or procedural failures can occur.	New permitting system developed and rolled out but is not well suited to the permitting functions my team performs and so several work arounds have been implemented which result in additional complications duplication of work and additional points where errors delays or procedural failures can occur
Paper work involved within compliance and enforcement. 	Paper work involved within compliance and enforcement
Pest strategies not complete.  FLAME is not set up to manage pest data well.  Pest strategies need to be completed to assist with recording pest data work completed.	Pest strategies not complete FLAME is not set up to manage pest data well Pest strategies need to be completed to assist with recording pest data work completed
The administration around the issuing of infringement notices but also extracting the data for reporting 	The administration around the issuing of infringement notices but also extracting the data for reporting
Utilising FLAME and not having software available that I need because it is no longer supported	Utilising FLAME and not having software available that need because it is no longer supported
internet connectivity - it is not as reliable or fast as on the coast which means that things timeout.  It can take a substantial amount of time just to log on to a computer	internet connectivity it is not as reliable or fast as on the coast which means that things timeout It can take substantial amount of time just to log on to computer
Prescribed burn approval processes. Too many pre fire meeting with groups that never agree, but don't give any constructive feedback. IT Systems that have glitches - FLAME. Approval processes- burns approved then withdrawn, approved burns that need removal but TS doesn't remove them, but then left as approved. 	Prescribed burn approval processes Too many pre fire meeting with groups that never agree but don give any constructive feedback IT Systems that have glitches FLAME Approval processes burns approved then withdrawn approved burns that need removal but TS doesn remove them but then left as approved
"I experience difficulty in collecting and collating field GIS data collected by operational rangers around the region. Below are a few common issues that numerous QPWS staff experience:
1) We currently do not have a suitable central storage database where rangers are able to unload this data making it accessible to all. 
2) Operational rangers are using a variety of collection tools i.e. handheld GPS units, Android or IOS tablets and other mobile devices to capture data with data being stored in a variety of GIS formats that are not all immediately compatible with the various GIS programs used in DES to analyse the data. 
3) The IT Department is not allowing the use the free program such as DNRGPS, which the department previously had access to. I believe there is an issue with licensing or privacy. This program was extremely useful in converting data files for analysis.
4) There are a number of very good capture tools (forms and programs) that operational rangers could use in the field to capture data and complete surveys but mobile devises such as tablets which are ideal to use to capture this data are not widely available to all rangers           "	experience difficulty in collecting and collating field GIS data collected by operational rangers around the region Below are few common issues that numerous QPWS staff experience 1 We currently do not have suitable central storage database where rangers are able to unload this data making it accessible to all 2 Operational rangers are using variety of collection tools handheld GPS units Android or IOS tablets and other mobile devices to capture data with data being stored in variety of GIS formats that are not all immediately compatible with the various GIS programs used in DES to analyse the data 3 The IT Department is not allowing the use the free program such as DNRGPS which the department previously had access to believe there is an issue with licensing or privacy This program was extremely useful in converting data files for analysis 4 There are number of very good capture tools forms and programs that operational rangers could use in the field to capture data and complete surveys but mobile devises such as tablets which are ideal to use to capture this data are not widely available to all rangers
Flame operations setting up planned burns 	Flame operations setting up planned burns
Loc8.  Difficult to navigate the program compared to previous systems	Loc8 Difficult to navigate the program compared to previous systems
Asset management using the Loc 8 System, System is cluttered and hard to use, tasks that were kept track of and done regularly using the SAMS system are being forgotten about or do not exist (hard to tell with out sifting through each task). 	Asset management using the Loc 8 System System is cluttered and hard to use tasks that were kept track of and done regularly using the SAMS system are being forgotten about or do not exist hard to tell with out sifting through each task
Flame pest, while it uses the VBMF no links are live, so you end up having to duplicate things like completing SPMP pest funding bids. All the effort to put the data into Flame pest and if doesn't flow though to other process that require that data. Also reporting through the treatment sets is of little value so sperate pest reports need to be done, duplicating the process especially for funded projects.  	Flame pest while it uses the VBMF no links are live so you end up having to duplicate things like completing SPMP pest funding bids All the effort to put the data into Flame pest and if doesn flow though to other process that require that data Also reporting through the treatment sets is of little value so sperate pest reports need to be done duplicating the process especially for funded projects
QPWS&P system. We use multiple system for different task ie. Loc8, Flame pest, flame fire ect. and none of these systems talk to eachother or fulfil the requirements	QPWS system We use multiple system for different task ie Loc8 Flame pest flame fire ect and none of these systems talk to eachother or fulfil the requirements
Just about everything we do these days requires some form of paperwork. approval, decisions take a long time, if people are away or relieving etc the process gets held up and this is why things don't get done on time or frequently out in the field. Some approvers don't risk responsibility so they just leave it and the task sits in limbo	Just about everything we do these days requires some form of paperwork approval decisions take long time if people are away or relieving etc the process gets held up and this is why things don get done on time or frequently out in the field Some approvers don risk responsibility so they just leave it and the task sits in limbo
data entry, rushed training.	data entry rushed training
"Using The Flame ""Pest"" system. The system is clunky and is set up for parks that have already been VBMF assessed.

Then after tedious, non-intuitive data entry we are required to regurgitate the same information for project proposals and reporting when the information is already in the system for managers to access.   "	Using The Flame Pest system The system is clunky and is set up for parks that have already been VBMF assessed Then after tedious non intuitive data entry we are required to regurgitate the same information for project proposals and reporting when the information is already in the system for managers to access
"There are many areas where the paperwork requirements are increasing are becoming a huge part of the workload. Safety requirements in relation to vessels ""risk assessments etc never cease to expand"" and end up interfering with day to day duties. From planning a trip to returning to base from the trip the amount of documentation to fill out is becoming a burden (Pre trip Plan/ Log in with Remote area emergency services/ Vessel Logbooks/ Emergency Preparedness/Risk Assessments/Toolbox talks/Field Reporting Systems."	There are many areas where the paperwork requirements are increasing are becoming huge part of the workload Safety requirements in relation to vessels risk assessments etc never cease to expand and end up interfering with day to day duties From planning trip to returning to base from the trip the amount of documentation to fill out is becoming burden Pre trip Plan Log in with Remote area emergency services Vessel Logbooks Emergency Preparedness Risk Assessments Toolbox talks Field Reporting Systems
"There are many areas where the paperwork requirements are increasing are becoming a huge part of the workload. Safety requirements in relation to vessels ""risk assessments etc never cease to expand"" and end up interfering with day to day duties. From planning a trip to returning to base from the trip the amount of documentation to fill out is becoming a burden (Pre trip Plan/ Log in with Remote area emergency services/ Vessel Logbooks/ Emergency Preparedness/Risk Assessments/Toolbox talks/Field Reporting Systems."	There are many areas where the paperwork requirements are increasing are becoming huge part of the workload Safety requirements in relation to vessels risk assessments etc never cease to expand and end up interfering with day to day duties From planning trip to returning to base from the trip the amount of documentation to fill out is becoming burden Pre trip Plan Log in with Remote area emergency services Vessel Logbooks Emergency Preparedness Risk Assessments Toolbox talks Field Reporting Systems
When a changes is required to online camping booking system to make camping areas accurate it requires Regional Director approval. Excessive level of approval and slows the process down considerably	When changes is required to online camping booking system to make camping areas accurate it requires Regional Director approval Excessive level of approval and slows the process down considerably
Coordinating finalisation of fire and pest documents and flow through the approval process in FLAME	Coordinating finalisation of fire and pest documents and flow through the approval process in FLAME
ParkPlanner - data entry for health checks. Data entered has gone missing from the system and there is no clear process for the data entry. Base layers i.e. key value mapping has either not been entered or vetted which is delaying the process of data entry.	ParkPlanner data entry for health checks Data entered has gone missing from the system and there is no clear process for the data entry Base layers key value mapping has either not been entered or vetted which is delaying the process of data entry
Flame 	Flame
Loc8	Loc8
	
FLAME (fire & pest treatment entries)...never have enough office time to enter all our treatments into the system. Too many tasks, not enough rangers within each team.	FLAME fire pest treatment entries never have enough office time to enter all our treatments into the system Too many tasks not enough rangers within each team
The process for approving fire and pest proposals and strategies in Flame is not simple, logical when not doing all the time. Need to contact the co-ordinator to talk through different screens to approve. 	The process for approving fire and pest proposals and strategies in Flame is not simple logical when not doing all the time Need to contact the co ordinator to talk through different screens to approve
Data collection and record keeping	Data collection and record keeping
dealing with a task that used to be done by another team. Our unit has now taken on board the duty phone for all wildlife enquiries and this limits our capacity to respond to operational requirements.	dealing with task that used to be done by another team Our unit has now taken on board the duty phone for all wildlife enquiries and this limits our capacity to respond to operational requirements
The GBRMPR's RJFMP's Field Reporting System (FRS). A great in-field reporting tool, but is independent of and not integrated at all with the Commonwealth or State Case Management Systems and collation tools. Effectively means that the region is running 3-4 databases/software where there could be one bespoke product.	The GBRMPR RJFMP Field Reporting System FRS great in field reporting tool but is independent of and not integrated at all with the Commonwealth or State Case Management Systems and collation tools Effectively means that the region is running 3 4 databases software where there could be one bespoke product
"The necessity to compete for funding within our own department/region. We are a ""one department"" yet we consistently need to put forward competitive submissions to fund operations that are our core business. This happens specifically in the pest management arena but also across other business areas such as roads maintenance. This is a time consuming process across multiple levels of ranger and AO staff, with very limited opportunity of any funding at all. If we cannot, or will not, fund our core responsibilities on park, time would be better spent controlling pests with sticks on ground."	The necessity to compete for funding within our own department region We are one department yet we consistently need to put forward competitive submissions to fund operations that are our core business This happens specifically in the pest management arena but also across other business areas such as roads maintenance This is time consuming process across multiple levels of ranger and AO staff with very limited opportunity of any funding at all If we can not or will not fund our core responsibilities on park time would be better spent controlling pests with sticks on ground
	
Processes for getting Flame work flows approved (Strategies, Actions and Plans)	Processes for getting Flame work flows approved Strategies Actions and Plans
Loc8 asset management	Loc8 asset management
Stock mustering permits. Form is difficult for neighbours to complete. Contains required information for large musters so discourages small mobs to be addressed. 40 days to approve timeline is unrealisitc for 20 head standing next to a gate. Some of our parks are HUGE. Once cattle are 20km away from fence needs major infrastructure and cost to remove them. Approval by RD is excessive and slows down process. Frustrates neighbours and rangers on ground trying to be proactive and control cattle impacts and return stock to their owners.	Stock mustering permits Form is difficult for neighbours to complete Contains required information for large musters so discourages small mobs to be addressed 40 days to approve timeline is unrealisitc for 20 head standing next to gate Some of our parks are HUGE Once cattle are 20 km away from fence needs major infrastructure and cost to remove them Approval by RD is excessive and slows down process Frustrates neighbours and rangers on ground trying to be proactive and control cattle impacts and return stock to their owners
There isn't one system that is overly challenging. It is the fact that our work is so varied that there are so many systems and if each takes a little bit of data input then it doesn't take long to be overbearing. Off the top of my head there is, CIMS, FLAME fire, Flame Pest, Loc8, Promaster, the procurement portal. If each of these requires attention daily or weekly, it quickly becomes a lot of administration. 	There isn one system that is overly challenging It is the fact that our work is so varied that there are so many systems and if each takes little bit of data input then it doesn take long to be overbearing Off the top of my head there is CIMS FLAME fire Flame Pest Loc8 Promaster the procurement portal If each of these requires attention daily or weekly it quickly becomes lot of administration
Flame (pest & fire), Loc8, QLD Globe & VBMF - SHOULD ALL BE LINKED..!!!!!	Flame pest fire Loc8 QLD Globe VBMF SHOULD ALL BE LINKED
Input of data captured in the field, often the admin takes longer and is harder to find that doing the job in the field. 	Input of data captured in the field often the admin takes longer and is harder to find that doing the job in the field
